GOID	Ontology	Definition	Level
GO:0000147	BP	actin cortical patch assembly	6
GO:0000148	CC	1,3-beta-D-glucan synthase complex	4
GO:0000149	MF	SNARE binding	4
GO:0000150	MF	recombinase activity	3
GO:0000151	CC	ubiquitin ligase complex	4
GO:0000152	CC	nuclear ubiquitin ligase complex	5
GO:0000153	CC	cytoplasmic ubiquitin ligase complex	5
GO:0000154	BP	rRNA modification	6
GO:0000155	MF	two-component sensor activity	4
GO:0000156	MF	two-component response regulator activity	4
GO:0000159	CC	protein phosphatase type 2A complex	4
GO:0000160	BP	two-component signal transduction system (phosphorelay)	4
GO:0000161	BP	MAPK cascade involved in osmosensory signaling pathway	5
GO:0000162	BP	tryptophan biosynthetic process	7
GO:0000164	CC	protein phosphatase type 1 complex	4
GO:0000165	BP	MAPK cascade	6
GO:0000166	MF	nucleotide binding	4
GO:0000167	BP	activation of MAPKKK activity involved in osmosensory signaling pathway	11
GO:0000168	BP	activation of MAPKK activity involved in osmosensory signaling pathway	8
GO:0000169	BP	activation of MAPK activity involved in osmosensory signaling pathway	8
GO:0000170	MF	sphingosine hydroxylase activity	4
GO:0000171	MF	ribonuclease MRP activity	7
GO:0000172	CC	ribonuclease MRP complex	5
GO:0000173	BP	inactivation of MAPK activity involved in osmosensory signaling pathway	8
GO:0000175	MF	3'-5'-exoribonuclease activity	8
GO:0000176	CC	nuclear exosome (RNase complex)	5
GO:0000177	CC	cytoplasmic exosome (RNase complex)	5
GO:0000178	CC	exosome (RNase complex)	4
GO:0000179	MF	rRNA (adenine-N6,N6-)-dimethyltransferase activity	7
GO:0000182	MF	rDNA binding	6
GO:0000183	BP	chromatin silencing at rDNA	5
GO:0000184	BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	9
GO:0000185	BP	activation of MAPKKK activity	10
GO:0000186	BP	activation of MAPKK activity	7
GO:0000187	BP	activation of MAPK activity	7
GO:0000188	BP	inactivation of MAPK activity	7
GO:0000189	BP	MAPK import into nucleus	7
GO:0000196	BP	MAPK cascade involved in cell wall biogenesis	6
GO:0000197	BP	activation of MAPKKK activity involved in cell wall biogenesis	11
GO:0000198	BP	activation of MAPKK activity involved in cell wall biogenesis	8
GO:0000199	BP	activation of MAPK activity involved in cell wall biogenesis	8
GO:0000200	BP	inactivation of MAPK activity involved in cell wall biogenesis	8
GO:0000201	BP	MAPK import into nucleus involved in cell wall biogenesis	7
GO:0000208	BP	MAPK import into nucleus involved in osmosensory signaling pathway	6
GO:0000209	BP	protein polyubiquitination	9
GO:0000210	MF	NAD+ diphosphatase activity	8
GO:0000212	BP	meiotic spindle organization	4
GO:0000213	MF	tRNA-intron endonuclease activity	8
GO:0000214	CC	tRNA-intron endonuclease complex	4
GO:0000215	MF	tRNA 2'-phosphotransferase activity	5
GO:0000216	BP	M/G1 transition of mitotic cell cycle	4
GO:0000217	MF	DNA secondary structure binding	6
GO:0000220	CC	vacuolar proton-transporting V-type ATPase, V0 domain	5
GO:0000221	CC	vacuolar proton-transporting V-type ATPase, V1 domain	5
GO:0000222	CC	plasma membrane proton-transporting V-type ATPase, V0 domain	4
GO:0000223	CC	plasma membrane proton-transporting V-type ATPase, V1 domain	4
GO:0000224	MF	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	6
GO:0000225	MF	N-acetylglucosaminylphosphatidylinositol deacetylase activity	5
GO:0000226	BP	microtubule cytoskeleton organization	4
GO:0000227	MF	oxaloacetate secondary active transmembrane transporter activity	6
GO:0000228	CC	nuclear chromosome	5
GO:0000229	CC	cytoplasmic chromosome	5
GO:0000234	MF	phosphoethanolamine N-methyltransferase activity	7
GO:0000235	CC	astral microtubule	6
GO:0000236	BP	mitotic prometaphase	5
GO:0000237	BP	leptotene	5
GO:0000238	BP	zygotene	5
GO:0000239	BP	pachytene	5
GO:0000240	BP	diplotene	5
GO:0000241	BP	diakinesis	5
GO:0000242	CC	pericentriolar material	6
GO:0000243	CC	commitment complex	6
GO:0000244	BP	assembly of spliceosomal tri-snRNP	7
GO:0000245	BP	spliceosome assembly	7
GO:0000246	MF	delta24(24-1) sterol reductase activity	6
GO:0000247	MF	C-8 sterol isomerase activity	6
GO:0000248	MF	C-5 sterol desaturase activity	6
GO:0000249	MF	C-22 sterol desaturase activity	6
GO:0000250	MF	lanosterol synthase activity	6
GO:0000252	MF	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	6
GO:0000253	MF	3-keto sterol reductase activity	6
GO:0000254	MF	C-4 methylsterol oxidase activity	6
GO:0000255	BP	allantoin metabolic process	5
GO:0000256	BP	allantoin catabolic process	6
GO:0000257	MF	nitrilase activity	6
GO:0000262	CC	mitochondrial chromosome	5
GO:0000266	BP	mitochondrial fission	7
GO:0000267	CC	cell fraction	3
GO:0000268	MF	peroxisome targeting sequence binding	5
GO:0000269	MF	toxin export channel activity	4
GO:0000270	BP	peptidoglycan metabolic process	7
GO:0000271	BP	polysaccharide biosynthetic process	5
GO:0000272	BP	polysaccharide catabolic process	5
GO:0000274	CC	mitochondrial proton-transporting ATP synthase, stator stalk	4
GO:0000275	CC	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	4
GO:0000276	CC	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	4
GO:0000277	MF	[cytochrome c]-lysine N-methyltransferase activity	8
GO:0000278	BP	mitotic cell cycle	4
GO:0000279	BP	M phase	5
GO:0000280	BP	nuclear division	7
GO:0000281	BP	cytokinesis after mitosis	5
GO:0000282	BP	cellular bud site selection	5
GO:0000285	MF	1-phosphatidylinositol-3-phosphate 5-kinase activity	7
GO:0000286	MF	alanine dehydrogenase activity	5
GO:0000287	MF	magnesium ion binding	6
GO:0000288	BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	9
GO:0000289	BP	nuclear-transcribed mRNA poly(A) tail shortening	8
GO:0000290	BP	deadenylation-dependent decapping of nuclear-transcribed mRNA	9
GO:0000291	BP	nuclear-transcribed mRNA catabolic process, exonucleolytic	9
GO:0000292	BP	RNA fragment catabolic process	7
GO:0000293	MF	ferric-chelate reductase activity	6
GO:0000294	BP	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	9
GO:0000295	MF	adenine nucleotide transmembrane transporter activity	8
GO:0000296	BP	spermine transport	7
GO:0000297	MF	spermine transmembrane transporter activity	7
GO:0000298	MF	endopolyphosphatase activity	7
GO:0000299	CC	integral to membrane of membrane fraction	6
GO:0000300	CC	peripheral to membrane of membrane fraction	6
GO:0000301	BP	retrograde transport, vesicle recycling within Golgi	6
GO:0000302	BP	response to reactive oxygen species	5
GO:0000303	BP	response to superoxide	7
GO:0000304	BP	response to singlet oxygen	6
GO:0000305	BP	response to oxygen radical	6
GO:0000306	CC	extrinsic to vacuolar membrane	5
GO:0000307	CC	cyclin-dependent protein kinase holoenzyme complex	4
GO:0000308	CC	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	5
GO:0000309	MF	nicotinamide-nucleotide adenylyltransferase activity	7
GO:0000310	MF	xanthine phosphoribosyltransferase activity	6
GO:0000311	CC	plastid large ribosomal subunit	5
GO:0000312	CC	plastid small ribosomal subunit	5
GO:0000313	CC	organellar ribosome	3
GO:0000314	CC	organellar small ribosomal subunit	4
GO:0000315	CC	organellar large ribosomal subunit	4
GO:0000316	BP	sulfite transport	7
GO:0000318	MF	protein-methionine-R-oxide reductase activity	6
GO:0000319	MF	sulfite transmembrane transporter activity	8
GO:0000320	BP	re-entry into mitotic cell cycle	4
GO:0000321	BP	re-entry into mitotic cell cycle after pheromone arrest	5
GO:0000322	CC	storage vacuole	6
GO:0000323	CC	lytic vacuole	6
GO:0000324	CC	fungal-type vacuole	7
GO:0000325	CC	plant-type vacuole	6
GO:0000326	CC	protein storage vacuole	7
GO:0000327	CC	lytic vacuole within protein storage vacuole	5
GO:0000328	CC	fungal-type vacuole lumen	6
GO:0000329	CC	fungal-type vacuole membrane	5
GO:0000330	CC	plant-type vacuole lumen	6
GO:0000331	CC	contractile vacuole	6
GO:0000332	MF	template for synthesis of G-rich strand of telomere DNA activity	6
GO:0000333	CC	telomerase catalytic core complex	5
GO:0000334	MF	3-hydroxyanthranilate 3,4-dioxygenase activity	6
GO:0000335	BP	negative regulation of transposition, DNA-mediated	5
GO:0000336	BP	positive regulation of transposition, DNA-mediated	5
GO:0000337	BP	regulation of transposition, DNA-mediated	5
GO:0000338	BP	protein deneddylation	8
GO:0000339	MF	RNA cap binding	5
GO:0000340	MF	RNA 7-methylguanosine cap binding	6
GO:0000341	MF	RNA trimethylguanosine cap binding	6
GO:0000342	MF	RNA cap 4 binding	6
GO:0000343	CC	plastid-encoded plastid RNA polymerase complex A	6
GO:0000344	CC	plastid-encoded plastid RNA polymerase complex B	6
GO:0000345	CC	cytosolic DNA-directed RNA polymerase complex	6
GO:0000346	CC	transcription export complex	4
GO:0000347	CC	THO complex	4
GO:0000348	BP	nuclear mRNA branch site recognition	7
GO:0000349	BP	generation of catalytic spliceosome for first transesterification step	7
GO:0000350	BP	generation of catalytic spliceosome for second transesterification step	7
GO:0000352	BP	trans assembly of SL-containing precatalytic spliceosome	7
GO:0000353	BP	formation of quadruple SL/U4/U5/U6 snRNP	7
GO:0000354	BP	cis assembly of pre-catalytic spliceosome	7
GO:0000365	BP	nuclear mRNA trans splicing, via spliceosome	8
GO:0000366	BP	intergenic nuclear mRNA trans splicing	9
GO:0000372	BP	Group I intron splicing	9
GO:0000373	BP	Group II intron splicing	9
GO:0000374	BP	Group III intron splicing	9
GO:0000375	BP	RNA splicing, via transesterification reactions	7
GO:0000376	BP	RNA splicing, via transesterification reactions with guanosine as nucleophile	8
GO:0000377	BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	8
GO:0000378	BP	RNA exon ligation	6
GO:0000379	BP	tRNA-type intron splice site recognition and cleavage	6
GO:0000380	BP	alternative nuclear mRNA splicing, via spliceosome	8
GO:0000381	BP	regulation of alternative nuclear mRNA splicing, via spliceosome	8
GO:0000384	MF	first spliceosomal transesterification activity	3
GO:0000386	MF	second spliceosomal transesterification activity	3
GO:0000387	BP	spliceosomal snRNP assembly	7
GO:0000388	BP	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	7
GO:0000389	BP	nuclear mRNA 3'-splice site recognition	8
GO:0000390	BP	spliceosome disassembly	7
GO:0000393	BP	spliceosomal conformational changes to generate catalytic conformation	7
GO:0000394	BP	RNA splicing, via endonucleolytic cleavage and ligation	7
GO:0000395	BP	nuclear mRNA 5'-splice site recognition	8
GO:0000398	BP	nuclear mRNA splicing, via spliceosome	7
GO:0000399	CC	cellular bud neck septin structure	4
GO:0000400	MF	four-way junction DNA binding	7
GO:0000401	MF	open form four-way junction DNA binding	8
GO:0000402	MF	crossed form four-way junction DNA binding	8
GO:0000403	MF	Y-form DNA binding	7
GO:0000404	MF	loop DNA binding	7
GO:0000405	MF	bubble DNA binding	7
GO:0000406	MF	double-strand/single-strand DNA junction binding	7
GO:0000407	CC	pre-autophagosomal structure	5
GO:0000408	CC	EKC/KEOPS complex	4
GO:0000409	BP	regulation of transcription by galactose	7
GO:0000410	BP	negative regulation of transcription by galactose	8
GO:0000411	BP	positive regulation of transcription by galactose	8
GO:0000412	BP	histone peptidyl-prolyl isomerization	7
GO:0000413	BP	protein peptidyl-prolyl isomerization	8
GO:0000414	BP	regulation of histone H3-K36 methylation	8
GO:0000415	BP	negative regulation of histone H3-K36 methylation	8
GO:0000416	BP	positive regulation of histone H3-K36 methylation	8
GO:0000417	CC	HIR complex	5
GO:0000418	CC	DNA-directed RNA polymerase IV complex	6
GO:0000419	CC	DNA-directed RNA polymerase V complex	6
GO:0000421	CC	autophagic vacuole membrane	5
GO:0000422	BP	mitochondrion degradation	6
GO:0000423	BP	macromitophagy	7
GO:0000424	BP	micromitophagy	6
GO:0000425	BP	macropexophagy	7
GO:0000426	BP	micropexophagy	6
GO:0000427	CC	plastid-encoded plastid RNA polymerase complex	5
GO:0000428	CC	DNA-directed RNA polymerase complex	5
GO:0000429	BP	carbon catabolite regulation of transcription from RNA polymerase II promoter	7
GO:0000430	BP	regulation of transcription from RNA polymerase II promoter by glucose	8
GO:0000431	BP	regulation of transcription from RNA polymerase II promoter by galactose	8
GO:0000432	BP	positive regulation of transcription from RNA polymerase II promoter by glucose	9
GO:0000433	BP	negative regulation of transcription from RNA polymerase II promoter by glucose	9
GO:0000434	BP	negative regulation of transcription from RNA polymerase II promoter by galactose	9
GO:0000435	BP	positive regulation of transcription from RNA polymerase II promoter by galactose	9
GO:0000436	BP	carbon catabolite activation of transcription from RNA polymerase II promoter	8
GO:0000437	BP	carbon catabolite repression of transcription from RNA polymerase II promoter	8
GO:0000438	CC	core TFIIH complex portion of holo TFIIH complex	6
GO:0000439	CC	core TFIIH complex	5
GO:0000440	CC	core TFIIH complex portion of NEF3 complex	6
GO:0000441	CC	SSL2-core TFIIH complex	4
GO:0000442	CC	SSL2-core TFIIH complex portion of NEF3 complex	5
GO:0000443	CC	SSL2-core TFIIH complex portion of holo TFIIH complex	5
GO:0000444	CC	MIS12/MIND type complex	4
GO:0000445	CC	THO complex part of transcription export complex	5
GO:0000446	CC	nucleoplasmic THO complex	5
GO:0000447	BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000448	BP	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000449	BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	9
GO:0000450	BP	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)	9
GO:0000451	BP	rRNA 2'-O-methylation	8
GO:0000452	BP	snoRNA guided rRNA 2'-O-methylation	9
GO:0000453	BP	enzyme-directed rRNA 2'-O-methylation	9
GO:0000454	BP	snoRNA guided rRNA pseudouridine synthesis	8
GO:0000455	BP	enzyme-directed rRNA pseudouridine synthesis	8
GO:0000456	BP	dimethylation involved in SSU-rRNA maturation	8
GO:0000457	BP	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	9
GO:0000458	BP	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)	9
GO:0000459	BP	exonucleolytic trimming involved in rRNA processing	8
GO:0000460	BP	maturation of 5.8S rRNA	8
GO:0000461	BP	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000462	BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
GO:0000463	BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
GO:0000464	BP	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000465	BP	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000466	BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000467	BP	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000468	BP	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000469	BP	cleavage involved in rRNA processing	7
GO:0000470	BP	maturation of LSU-rRNA	7
GO:0000471	BP	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10
GO:0000472	BP	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000473	BP	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	8
GO:0000474	BP	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	8
GO:0000475	BP	maturation of 2S rRNA	8
GO:0000476	BP	maturation of 4.5S rRNA	8
GO:0000477	BP	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
GO:0000478	BP	endonucleolytic cleavage involved in rRNA processing	8
GO:0000479	BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000480	BP	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000481	BP	maturation of 5S rRNA	8
GO:0000482	BP	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9
GO:0000483	BP	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	9
GO:0000484	BP	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	9
GO:0000485	BP	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	9
GO:0000486	BP	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	9
GO:0000487	BP	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	9
GO:0000488	BP	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	8
GO:0000489	BP	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	8
GO:0000491	BP	small nucleolar ribonucleoprotein complex assembly	7
GO:0000492	BP	box C/D snoRNP assembly	8
GO:0000493	BP	box H/ACA snoRNP assembly	8
GO:0000494	BP	box C/D snoRNA 3'-end processing	9
GO:0000495	BP	box H/ACA snoRNA 3'-end processing	9
GO:0000496	MF	base pairing	4
GO:0000497	MF	base pairing with DNA	5
GO:0000498	MF	base pairing with RNA	5
GO:0000499	MF	base pairing with mRNA	6
GO:0000500	CC	RNA polymerase I upstream activating factor complex	6
GO:0000501	BP	flocculation via cell wall protein-carbohydrate interaction	4
GO:0000502	CC	proteasome complex	4
GO:0000506	CC	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	4
GO:0000578	BP	embryonic axis specification	5
GO:0000700	MF	mismatch base pair DNA N-glycosylase activity	7
GO:0000701	MF	purine-specific mismatch base pair DNA N-glycosylase activity	8
GO:0000702	MF	oxidized base lesion DNA N-glycosylase activity	7
GO:0000703	MF	oxidized pyrimidine base lesion DNA N-glycosylase activity	6
GO:0000704	MF	pyrimidine dimer DNA N-glycosylase activity	6
GO:0000705	BP	achiasmate meiosis I	6
GO:0000706	BP	meiotic DNA double-strand break processing	4
GO:0000707	BP	meiotic DNA recombinase assembly	4
GO:0000708	BP	meiotic strand invasion	4
GO:0000709	BP	meiotic joint molecule formation	4
GO:0000710	BP	meiotic mismatch repair	4
GO:0000711	BP	meiotic DNA repair synthesis	4
GO:0000712	BP	resolution of meiotic recombination intermediates	5
GO:0000713	BP	meiotic heteroduplex formation	4
GO:0000714	BP	meiotic strand displacement	4
GO:0000715	BP	nucleotide-excision repair, DNA damage recognition	7
GO:0000716	BP	transcription-coupled nucleotide-excision repair, DNA damage recognition	8
GO:0000717	BP	nucleotide-excision repair, DNA duplex unwinding	8
GO:0000718	BP	nucleotide-excision repair, DNA damage removal	7
GO:0000719	BP	photoreactive repair	8
GO:0000720	BP	pyrimidine dimer repair by nucleotide-excision repair	8
GO:0000721	MF	(R,R)-butanediol dehydrogenase activity	6
GO:0000722	BP	telomere maintenance via recombination	7
GO:0000723	BP	telomere maintenance	6
GO:0000724	BP	double-strand break repair via homologous recombination	8
GO:0000725	BP	recombinational repair	7
GO:0000726	BP	non-recombinational repair	7
GO:0000727	BP	double-strand break repair via break-induced replication	9
GO:0000728	BP	gene conversion at mating-type locus, DNA double-strand break formation	4
GO:0000729	BP	DNA double-strand break processing	8
GO:0000730	BP	DNA recombinase assembly	7
GO:0000731	BP	DNA synthesis involved in DNA repair	7
GO:0000732	BP	strand displacement	6
GO:0000733	BP	DNA strand renaturation	6
GO:0000734	BP	gene conversion at mating-type locus, DNA repair synthesis	4
GO:0000735	BP	removal of nonhomologous ends	4
GO:0000736	BP	double-strand break repair via single-strand annealing, removal of nonhomologous ends	5
GO:0000737	BP	DNA catabolic process, endonucleolytic	7
GO:0000738	BP	DNA catabolic process, exonucleolytic	7
GO:0000739	MF	DNA strand annealing activity	7
GO:0000740	BP	nuclear membrane fusion	6
GO:0000741	BP	karyogamy	7
GO:0000742	BP	karyogamy involved in conjugation with cellular fusion	4
GO:0000743	BP	nuclear migration involved in conjugation with cellular fusion	4
GO:0000744	BP	karyogamy involved in conjugation with mutual genetic exchange	5
GO:0000745	BP	nuclear migration involved in conjugation with mutual genetic exchange	6
GO:0000746	BP	conjugation	3
GO:0000747	BP	conjugation with cellular fusion	4
GO:0000748	BP	conjugation with mutual genetic exchange	4
GO:0000749	BP	response to pheromone involved in conjugation with cellular fusion	4
